ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,HoursofOperation,DaysofOperation
Betty  Reider,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-282-5550,2 PM - 3 PM,M W TH 
Academic Academy Christian Child Care Center,LICENSED,4,Center,0,Not Rated,28,YAZOO CITY,39194,82,YAZOO,601-320-6288,11 AM - 10 AM,M 
Bobbie  Jones,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-321-4931,3 PM - 3 AM,M F
Bobbie Bronaugh,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-321-9446,12 PM - 10 AM,W 
Bonnie Clay,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-323-1855,9 AM - 10 AM,M T W TH F
Booman Ali Mohammad Amin,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-323-4855,9 AM - 7 AM,T W TH 
Bosede  Williams,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-324-0059,2 PM - 3 AM,W 
Brandi Paulsen,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-329-9740,4 PM - 5 AM,T F
Brandi Rene Rosas,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-331-4493,12 PM - 3 PM,M W F
Breanna Carrasco,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-335-4277,10 AM - 7 AM,T W TH F
Brenda  Currie,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-336-8494,1 PM - 2 AM,T F
Brenda  Mitchell,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-341-3909,12 PM - 12 PM,W 
Brenda Gary,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-344-1601,11 AM - 3 PM,M T F
Brenda J Wesson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-345-8067,9 AM - 5 PM,T TH 
Brianna Smauley,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VAUGHAN,39179,82,YAZOO,601-352-4284,11 AM - 2 AM,T W 
Bridget Berry,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-352-5441,4 PM - 6 AM,W TH 
Brittany Culverhouse,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-355-1604,1 PM - 4 AM,T W F
Brittney Book,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-355-9311,12 PM - 12 PM,M TH F
Acton Baptist Preschool,LICENSED,4,Center,2,Average,90,YAZOO CITY,39194,82,YAZOO,601-357-5017,1 PM - 12 PM,F
Candice Laramore,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-362-0660,9 AM - 12 PM,W TH F
Cara Clemons,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-362-2364,3 PM - 5 PM,M TH F
Cari Lyn Dumas,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-362-4530,9 AM - 6 AM,T W 
Cascile  Moore,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-372-5699,12 PM - 5 AM,W TH F
Christene Wilson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BENTONIA,39040,82,YAZOO,601-434-3022,10 AM - 8 AM,
Christian Fay Rozner,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-437-2092,2 PM - 7 AM,M T F
ChunMei Hung,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-442-8462,2 PM - 1 PM,M T W TH F
Cindy  Davis,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-444-0239,1 PM - 8 AM,T 
Cindy Long,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-445-5105,4 PM - 4 PM,W TH 
Cordelia Herrera,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-469-0259,12 PM - 5 AM,M W TH 
Crystal Sims,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-473-2103,2 PM - 2 PM,T TH F
Cynthia Dawn McDermid,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-479-8285,9 AM - 9 AM,M TH 
Cynthia Renee Merchant,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BENTONIA,39040,82,YAZOO,601-481-4569,9 AM - 11 AM,M T 
Dana Hall,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-483-4881,1 PM - 12 PM,M W F
Daphne Faye Dickerson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-485-2603,11 AM - 5 AM,TH F
Deborah Searcy,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-503-0279,11 AM - 11 AM,M TH F
Diana Rodriguez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-575-1115,4 PM - 5 AM,T 
Dierdrea Jackson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-587-0426,12 PM - 10 AM,M 
Donna  Sepaugh,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-595-0151,9 AM - 10 AM,M W F
Donna Linda Gonzalez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-597-5860,4 PM - 2 PM,M T TH F
Donna Mosley-Meunier,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-600-2537,1 PM - 2 PM,T TH 
Dorothy Long,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-618-3655,4 PM - 8 AM,T TH 
Elena Vazquez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-631-4085,10 AM - 8 AM,M T 
Elizabeth Taylor,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-638-0519,10 AM - 3 PM,M 
Ella Irwin,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-638-5006,10 AM - 10 AM,M W TH F
Emma Luna  Nunez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-656-4638,11 AM - 5 PM,M W 
Ertha  Jackson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-667-3404,4 PM - 7 AM,T 
Eva Lydia Soto,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-679-2652,9 AM - 4 AM,M TH F
Evangelina Guerrero De La Cruz,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-680-4630,3 PM - 5 PM,M F
Faye Smoot,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-687-1706,2 PM - 10 AM,M W F
America Kids Day Care,LICENSED,4,Center,0,Not Rated,73,YAZOO CITY,39194,82,YAZOO,601-750-2562,1 PM - 12 PM,M T W TH F
Gloria Bailon Menchaca,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-751-0259,9 AM - 3 PM,T W 
Hilda G Nunez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-798-0174,10 AM - 10 AM,T TH 
Jennifer Fyffe,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-894-0077,1 PM - 10 AM,M T TH F
Jessica Brooks,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-918-8581,3 PM - 5 AM,TH 
Jody Carleen Thomas,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-928-2509,9 AM - 2 AM,W 
Johnnie Sutton,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-934-2155,4 PM - 5 PM,M 
Justine LeAnn Galvan,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-981-5279,10 AM - 7 AM,M TH 
Karen Jones,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,607-988-0418,3 PM - 5 AM,M T W TH 
Keisha Renee Butler,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-240-8968,9 AM - 2 PM,T F
Kimberly Kuempel-Klar,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-258-7004,2 PM - 2 PM,M T W TH F
Kimberly Michelle Rhyne,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-269-2688,11 AM - 4 AM,F
Applegate Farms,LICENSED,4,Center,0,Not Rated,67,YAZOO CITY,39194,82,YAZOO,662-283-2136,3 PM - 3 AM,T F
Kristie Whitby,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-287-4798,3 PM - 2 AM,F
Aprils Little Lambs License Child Care Home,LICENSED,4,Center,0,Not Rated,67,YAZOO CITY,39194,82,YAZOO,662-290-8881,2 PM - 10 AM,M T W TH F
Lakeshia Annette Lott,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-299-7531,11 AM - 5 AM,M W F
Latanya  Ruff,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-303-7209,11 AM - 4 PM,
Latasha Antoinnette Micheaux,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-312-7597,2 PM - 11 AM,T F
LaToya  Mixon,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-315-0344,2 PM - 3 AM,W TH 
Laura Louise Woods,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-323-8839,11 AM - 5 AM,M T W F
Laura Patricia Mendoza,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-324-3910,2 PM - 11 AM,M T TH F
Leticia S Herrera,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-332-8359,2 PM - 5 AM,
Linda  Brown,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BENTON,39039,82,YAZOO,662-334-3661,2 PM - 5 AM,T TH 
Linda Gunnoe,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-335-1849,12 PM - 3 AM,M T W 
Linda Huff,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-335-3228,4 PM - 12 PM,T TH F
Linda Kay Triesch,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-335-3807,1 PM - 5 PM,M TH 
Linda Pfeil,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-335-5170,3 PM - 4 AM,M W TH 
Lindsay Michelle Ball,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-335-7428,11 AM - 12 PM,
Lisa Jose,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-338-5031,3 PM - 10 AM,T W TH F
Lizbeth Ornelas,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-348-5888,1 PM - 8 AM,W F
Lizette Lopez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-349-7077,11 AM - 8 AM,M W F
Lorena  Vargas,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-352-4034,10 AM - 2 PM,W F
Astros Learning & Daycare Center,LICENSED,4,Center,0,Not Rated,60,YAZOO CITY,39194,82,YAZOO,662-358-4867,3 PM - 10 AM,M F
Lottie May Jamar,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,VAUGHAN,39179,82,YAZOO,662-361-6452,9 AM - 10 AM,M T 
ASYMCA @ Haynes,LICENSED,2,Slot Contractor,1,Low,42,YAZOO CITY,39194,82,YAZOO,662-365-7075,3 PM - 3 AM,M T W TH 
Luisa Gardea,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-368-6697,9 AM - 5 PM,M TH 
Luz Oquendo,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-375-4945,4 PM - 9 AM,M W TH 
Ma Guillermina Leija Yvarra,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-378-7786,1 PM - 4 AM,M T W F
Ma Paulina Rico,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-378-8088,3 PM - 8 AM,M W TH 
Manalmosh  Worku,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-379-6021,4 PM - 3 PM,W 
Mara Padilla,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-382-7153,1 PM - 1 PM,T W TH F
Maria  Tijerina,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BENTONIA,39040,82,YAZOO,662-394-0329,4 PM - 9 AM,M TH F
Maria D Duarte,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-402-3597,4 PM - 1 PM,TH 
Maria de Jesus Rodriguez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-402-8378,10 AM - 12 PM,M T 
Maria De Lourdes Medrano,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-414-6432,12 PM - 1 PM,M TH F
Maria Del Socorro Escajeda,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-423-9503,3 PM - 2 AM,W TH 
Maria Del Socorro Kerr,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-425-0890,9 AM - 5 AM,T TH 
Avance - Family Center Carmen P Cortez,LICENSED,2,Slot Contractor,2,Average,70,YAZOO CITY,39194,82,YAZOO,662-436-5199,4 PM - 7 AM,M TH 
Maria Flores,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-447-5135,9 AM - 8 AM,T W TH 
Maria Lourdes Canela,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-453-6031,1 PM - 5 AM,M W 
Maria Mayela Nava,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-455-5336,3 PM - 4 PM,M W TH 
Maria Nunez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-456-2473,10 AM - 3 PM,T TH F
Maria Perez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-456-4337,12 PM - 3 PM,
Maria Placencia,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-456-9652,4 PM - 3 PM,M W 
Maribel  Villalobos,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-473-3871,12 PM - 3 AM,M T W TH 
Marilyn Sue Buchholtz,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-489-0399,4 PM - 12 PM,M T W TH 
Martha  Lopez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-510-5881,10 AM - 12 PM,M T 
Mary  Lou Turman,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-537-4114,9 AM - 8 AM,M W F
Mary  Martin,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VAUGHAN,39179,82,YAZOO,662-537-4155,3 PM - 8 AM,M W F
Mary  Wesley,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-537-4449,3 PM - 10 AM,W 
Mary Macon,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-537-8047,11 AM - 5 PM,T TH F
Meagan Hernandez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-550-6404,4 PM - 6 AM,M T W TH F
Megan Anthony Hernandez Cortez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-551-2328,9 AM - 3 AM,
Megan Toohey,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BENTON,39039,82,YAZOO,662-557-2142,12 PM - 10 AM,W F
Meimuna  Soofi,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-562-5067,11 AM - 8 AM,T W TH 
Barbara Shipley,LICENSED,4,Center,0,Not Rated,18,YAZOO CITY,39194,82,YAZOO,662-566-0036,1 PM - 6 AM,W 
Barbara T Williams Head Start  and CDC,LICENSED,4,Center,3,Good,35,YAZOO CITY,39194,82,YAZOO,662-566-2422,2 PM - 6 AM,W TH F
Melissa Hix Bramlett,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-569-6541,3 PM - 11 AM,W TH F
Melissa Martinez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-571-0486,4 PM - 11 AM,F
Michael Anthony White,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-571-9922,2 PM - 12 PM,M TH F
Mina  Baraili,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-582-2194,12 PM - 12 PM,M W F
Minnie Walkup,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-587-5515,1 PM - 12 PM,F
Mona Orvig,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-590-5741,9 AM - 4 PM,M W TH 
Nancy Kaye Kendrick,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-592-5198,2 PM - 4 AM,M W F
Nancy Steelman,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-594-4499,12 PM - 5 PM,TH F
Natalie Eagan,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-607-1145,10 AM - 1 PM,M T TH 
Natasha Hunter,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-613-1903,9 AM - 1 PM,T TH 
Neena Kayleene Brownlee,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BENTONIA,39040,82,YAZOO,662-616-0114,9 AM - 1 PM,T W 
Nelda Garza,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-616-0821,9 AM - 2 AM,T TH F
Nichole Brooks,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-624-2761,11 AM - 5 PM,M TH F
Ninett  Guadalupe Salinas,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-624-9986,10 AM - 12 PM,W 
Patricia   Huffman,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,662-653-3261,12 PM - 5 PM,T 
